open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_base_volue,taker_quote_volume,ignore
1560341700000,7983.90000000,7997.15000000,7983.90000000,7997.14000000,11.53100900,1560341759999,92122.88353540,202,7.95134300,63529.34952696,0
1560341760000,7993.93000000,8004.00000000,7993.93000000,7999.99000000,44.55785700,1560341819999,356504.80267386,391,31.24259800,249966.23031607,0
1560341820000,8000.00000000,8003.00000000,7993.39000000,7999.87000000,18.12736200,1560341879999,144996.41201026,259,9.97067300,79759.89130857,0
1560341880000,7999.87000000,8020.00000000,7998.95000000,8011.00000000,106.12556100,1560341939999,850270.59020654,980,67.64148200,541955.13743948,0
1560341940000,8011.00000000,8015.53000000,8005.56000000,8011.74000000,70.17739400,1560341999999,562274.38054444,418,48.90345400,391836.34111437,0
1560342000000,8011.85000000,8015.02000000,7990.03000000,8000.03000000,41.09100900,1560342059999,328669.47128849,577,14.87114300,118934.67723583,0
1560342060000,8000.93000000,8002.38000000,7979.74000000,7982.80000000,62.84865000,1560342119999,502272.18040954,571,26.74201400,213737.91423739,0
1560342120000,7986.22000000,7987.60000000,7978.22000000,7983.83000000,26.93606900,1560342179999,215026.20574083,300,13.94500100,111343.20287927,0
1560342180000,7983.82000000,7988.58000000,7978.95000000,7986.45000000,18.17475000,1560342239999,145075.56925711,268,11.14084400,88934.23355173,0
1560342240000,7986.75000000,7990.00000000,7981.82000000,7984.41000000,22.51289200,1560342299999,179795.42327340,309,12.48275100,99696.05307051,0
1560342300000,7982.89000000,7988.45000000,7977.03000000,7977.03000000,33.60577900,1560342359999,268260.00060101,246,9.87739800,78860.31479729,0
1560342360000,7981.08000000,7981.08000000,7965.70000000,7966.18000000,44.14794600,1560342419999,351915.90009142,540,16.66809300,132884.63113473,0
1560342420000,7966.20000000,7980.30000000,7965.00000000,7976.95000000,34.14418700,1560342479999,272239.22794233,316,16.20371900,129193.29598820,0
1560342480000,7977.00000000,7984.00000000,7973.94000000,7980.05000000,26.41399200,1560342539999,210745.48554899,258,16.44279200,131187.87453454,0
1560342540000,7980.37000000,7985.63000000,7980.37000000,7985.00000000,12.31261900,1560342599999,98307.79636932,152,7.23276700,57749.77948507,0
1560342600000,7983.06000000,7993.82000000,7983.01000000,7990.16000000,17.95781300,1560342659999,143446.24183611,255,7.68968000,61424.30989571,0
1560342660000,7991.52000000,7992.18000000,7985.91000000,7987.07000000,23.89812600,1560342719999,190935.13835528,179,9.10603400,72754.95216447,0
1560342720000,7987.48000000,7989.00000000,7983.97000000,7987.47000000,12.65923700,1560342779999,101101.32379132,160,5.23448000,41808.28651717,0
1560342780000,7985.43000000,7988.73000000,7974.00000000,7977.58000000,15.77585400,1560342839999,125927.50409534,251,6.26166500,49974.52766735,0
1560342840000,7974.34000000,7985.85000000,7973.05000000,7983.66000000,13.39735800,1560342899999,106884.29868702,217,8.25237900,65838.48925965,0
1560342900000,7983.67000000,7985.59000000,7969.49000000,7969.57000000,20.58608200,1560342959999,164182.88367071,287,8.51602900,67917.60877418,0
1560342960000,7969.61000000,7976.27000000,7966.81000000,7972.92000000,14.83115300,1560343019999,118227.08758539,247,7.95286400,63398.70035466,0
1560343020000,7974.24000000,7974.24000000,7961.01000000,7962.85000000,21.50770100,1560343079999,171319.95699987,286,9.33468900,74366.59508524,0
